id,URL,Nome,Informação,Classificação_da_água,Coordenadas,Nome da Praia,Região,Concelho,Categoria,Qualidade da água,Vigilancia,Posto de socorro,Sanitarios,Duche,Recolha lixo,Limpeza praia,Painel informativo,Apoio balnear,Apoio à praia,Estacionamento,Bandeira Azul,Acessível,Cadeira anfíbia,Ondas especiais,Obras em curso,Risco de derrocada
9724179978,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179978,Corvo/Areia,"Época Balnear 2025, estado : Não iniciou, calendario : de 20 junho a 30 setembro",Excelente,"39.67262,-31.12188",Corvo/Areia,AÇORES,CORVO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim
9724180006,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180006,Manhenha,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.410836,-28.036597",Manhenha,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724180078,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180078,Praia,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.051119,-27.970935",Praia,AÇORES,SANTA CRUZ DA GRACIOSA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não
9724180088,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180088,Piscina do Cais,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.52455,-28.31659",Piscina do Cais,AÇORES,SÃO ROQUE DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724179998,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179998,Lajes (Maré),"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.39094,-28.25182",Lajes (Maré),AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
10146368808,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368808,Poça das Mujas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.39962,-28.08311",Poça das Mujas,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não
9724180000,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180000,Calhau,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.438984,-28.05558",Calhau,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
10146368806,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368806,Poça Branca,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"38.47778,-28.20528",Poça Branca,AÇORES,SÃO ROQUE DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
9724180080,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180080,Barro Vermelho,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.05112,-27.97094",Barro Vermelho,AÇORES,SANTA CRUZ DA GRACIOSA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
9724180030,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180030,Poços de São Vicente Ferreira/Capelas,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"37.83467,-25.66938",Poços de São Vicente Ferreira/Capelas,AÇORES,PONTA DELGADA,Praia Costeira,Água adequada a banhos,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
9724179994,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179994,Caloura,"Época Balnear 2025, estado : Não iniciou, calendario : de 7 junho a 27 setembro",Excelente,"37.7133,-25.49565",Caloura,AÇORES,LAGOA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
10146368804,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368804,Calheta dos Lagadores,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.79975,-27.24596",Calheta dos Lagadores,AÇORES,PRAIA DA VITÓRIA,Praia Costeira,Água adequada a banhos,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724180058,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180058,Praia da Riviera,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 30 setembro",Excelente,"38.71483,-27.06057",Praia da Riviera,AÇORES,PRAIA DA VITÓRIA,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
10686881398,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10686881398,Poceirões,"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Excelente,"39.07631,-28.06332",Poceirões,AÇORES,SANTA CRUZ DA GRACIOSA,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
10146368810,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/10146368810,Pontes,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.40733,-28.15955",Pontes,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724180004,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724180004,Fonte,"Época Balnear 2025, estado : Não iniciou, calendario : de 1 junho a 30 setembro",Excelente,"38.41225,-28.289373",Fonte,AÇORES,LAJES DO PICO,Praia Costeira,Água adequada a banhos,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
9724179962,https://infoagua.apambiente.pt/pt/praias/praia-detalhe/9724179962,Prainha (Angra do Heroísmo),"Época Balnear 2025, estado : Não iniciou, calendario : de 15 junho a 15 setembro",Boa,"38.65357,-27.22006",Prainha (Angra do Heroísmo),AÇORES,ANGRA DO HEROÍSMO,Praia Costeira,Água adequada a banhos,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
